Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.985,1803.492,2.861,161,0.404
AgentBrain,1.009,1807.558,2.878,161,0.404
AgentBrain,1.063,1811.729,2.925,161,0.405
AgentBrain,1.004,1815.712,2.793,162,0.405
AgentBrain,1.011,1819.784,2.888,161,0.406
AgentBrain,0.994,1823.986,3.021,162,0.406
AgentBrain,1.023,1828.093,2.896,161,0.407
AgentBrain,1.008,1832.144,2.875,164,0.407
AgentBrain,0.999,1836.287,2.947,161,0.408
AgentBrain,1.004,1840.326,2.860,162,0.408
AgentBrain,1.009,1844.469,2.960,161,0.409
AgentBrain,0.991,1848.435,2.799,161,0.410
AgentBrain,1.003,1852.609,2.951,161,0.410
AgentBrain,0.993,1856.620,2.846,161,0.411
AgentBrain,1.069,1860.873,3.014,161,0.411
AgentBrain,1.027,1864.965,2.896,161,0.412
AgentBrain,1.001,1869.140,2.985,163,0.412
AgentBrain,1.008,1873.392,3.054,161,0.413
AgentBrain,0.995,1877.429,2.858,161,0.414
AgentBrain,0.988,1881.385,2.784,161,0.414
AgentBrain,0.994,1885.452,2.887,162,0.415
AgentBrain,0.996,1889.611,2.971,161,0.415
AgentBrain,0.999,1893.569,2.760,161,0.416
AgentBrain,1.006,1897.572,2.813,161,0.416
AgentBrain,1.010,1901.694,2.922,162,0.417
AgentBrain,0.997,1906.031,3.146,161,0.417
AgentBrain,1.029,1910.320,2.964,161,0.418
AgentBrain,1.050,1914.136,2.665,161,0.418
AgentBrain,1.055,1917.836,2.552,161,0.418
AgentBrain,1.039,1921.838,2.847,161,0.418
AgentBrain,1.075,1925.422,2.418,164,0.418
AgentBrain,1.038,1929.257,2.701,164,0.418
AgentBrain,1.028,1932.988,2.601,164,0.419
AgentBrain,1.064,1936.782,2.627,161,0.419
AgentBrain,1.051,1940.501,2.563,162,0.419
AgentBrain,1.023,1944.377,2.758,162,0.418
AgentBrain,1.091,1948.277,2.697,161,0.418
AgentBrain,1.044,1952.037,2.614,161,0.418
AgentBrain,1.037,1955.809,2.629,163,0.418
AgentBrain,1.022,1959.560,2.622,161,0.419
AgentBrain,1.023,1963.312,2.626,162,0.419
AgentBrain,1.029,1967.095,2.649,162,0.419
AgentBrain,1.020,1970.936,2.714,161,0.419
AgentBrain,1.021,1974.628,2.560,164,0.419
AgentBrain,1.024,1978.252,2.503,162,0.419
AgentBrain,1.052,1982.070,2.663,161,0.419
AgentBrain,1.013,1985.768,2.583,163,0.419
AgentBrain,1.034,1989.573,2.668,161,0.419
AgentBrain,1.014,1993.338,2.644,164,0.419
AgentBrain,1.013,1997.076,2.618,161,0.419
AgentBrain,1.024,2000.921,2.707,161,0.419
AgentBrain,1.034,2004.735,2.653,161,0.419
AgentBrain,1.051,2008.473,2.588,161,0.419
AgentBrain,1.046,2012.242,2.619,161,0.419
AgentBrain,1.027,2016.198,2.817,163,0.419
AgentBrain,1.081,2020.107,2.725,161,0.419
AgentBrain,1.028,2023.861,2.630,161,0.419
AgentBrain,1.033,2027.849,2.843,162,0.419
AgentBrain,1.011,2031.474,2.519,162,0.419
AgentBrain,1.020,2035.198,2.608,162,0.419
AgentBrain,1.024,2038.930,2.589,162,0.419
AgentBrain,1.019,2042.776,2.719,162,0.419
AgentBrain,1.015,2046.374,2.486,161,0.420
